Text,Sentiment,Positive
enviar detalle de deuda al correo INFORMES@CONTRATISTASJKM.COM nosotros estamos al dia con los depositos de afp registren su sistema ,positivo,1
No hice contratos con ONCOSALUD..No molestar,positivo,1
mitad o solo lo que debemos ya no intereses.,positivo,1
Y si tengo q aorrar dinero me pueden enviar mi cuenta o como puedo obtener mi targeta,positivo,1
Gracias por su comprension,positivo,1
Ya mañana voy a pagar no se preocupen,positivo,1
No les devo por favor no molestar,positivo,1
"Me descuentan por planilla , no debo estoy al dia",positivo,1
en Gracias,positivo,1
Ya pague en la. Mañana 🙄,positivo,1
De cuanto es la letra,positivo,1
Por favor dejen de molestar. Realicen bien su trabajo. Estoy al dia.,positivo,1
Yo no tengo ningun pendiente siempre pague todo lo de avon a tiempo y tengo todos los voucher,positivo,1
Estoy muy fastidiada por esto d estar narrando la misma historia y que una Institucion tan prestigiosa solo se preocupe por el cobro y no entienda y que,positivo,1
Llamame al numero.de celu,positivo,1
SRTA YO AHORITA NO ESTOY TRABAJANDO YO HIBA A IR PARA QUE ME DEN UN PLAZO MAS PARA PAGAR USTEDES SABEN COMO ESTAMOS EN ESTA SITUACION X FAVOR DEANME PLAZ,positivo,1
es tienen y que tanto joden para cobrar,positivo,1
Pero yono debo esa banco,positivo,1
"El numero 950624644 realizo una llamada, busca comunicarse contigo.",positivo,1
Me puedes decir tu nombre,positivo,1
"El numero 999453468 realizo una llamada, busca comunicarse contigo.",positivo,1
"cual deuda si yo he solicitado hace 3 meses migracion a prepago y en esa fecha pague todo, ahora no es mi culpa que ustedes no me corten el postpago",positivo,1
ya fui a efe ya me acerque el dia de hoy👍,positivo,1
Y%20hacemos%20el%20trato%20pero%20me%20das%20mi%20cartavde%20no%20adeudo%20,positivo,1
Por que no verifican en lugar de poner incoherencias.,positivo,1
como puedo cobrar,positivo,1
Y pague justamente con la app del bcp,positivo,1
Ya lo pague... Dejen MOLES TAAAAAAAAARRRRR😠😠😠😠😠,positivo,1
Nose d k cota me anblan amigo deke debo yo,positivo,1
Con esta situacion de la pandemia no podemos nivelarnos !! Tiene que ser comprensivos,positivo,1
"El numero 975140971 realizo una llamada, busca comunicarse contigo.",positivo,1
Es pospago.y tengo que pagar el 16 de octubre así me dijo,positivo,1
Ya pague el total,positivo,1
Ok ya me estoy acercandome gracias por hacer recordarme,positivo,1
Con quién hablo,positivo,1
ya me han descontado,positivo,1
"El numero 983902912 quiere comunicarse contigo, si deseas llamalo.",positivo,1
"El numero 999990324 realizo una llamada, busca comunicarse contigo.",positivo,1
"El numero 995942264 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Por favor soy su hermano eviten mandar estos mensajes y llamadas ok,positivo,1
"El numero 997249391 realizo una llamada, busca comunicarse contigo.",positivo,1
A qué equipos se refieren? ,positivo,1
Ni tarjeta cencosud tengo,positivo,1
Ya cancele amigos de caja Sullana r,positivo,1
De q dueda,positivo,1
Fin de mes me acerco,positivo,1
Buenos días. NO TENGO NINGUNA INFORMACION SOBRE EL ESTADO DE MI FRE,positivo,1
Buenas tarde no e completado todabia.. No estoy trabajando... Espereme x favor todabia no se acaba el mes are todo lo posible x pagar,positivo,1
Es número,positivo,1
Que recibo?,positivo,1
Catarata de dos culos,positivo,1
Q cuota vencida tengo si me estan descontando,positivo,1
??????,positivo,1
"Lo solicité en varias oportunidades, me avisan cuando vengan",positivo,1
No estoy trabajando deben e entender xfaAvor,positivo,1
"El numero 941900754 realizo una llamada, busca comunicarse contigo.",positivo,1
"El numero 952885011 quiere comunicarse contigo, si deseas llamalo.",positivo,1
No es mi saldo ,positivo,1
Disculpe pero.yo.No tengo deuda con el Bco Falabela,positivo,1
De que equipo habla,positivo,1
"Hace dos semanas me llamaron como 30 personas diferentes en dos dias diciéndome que venian a recoger los equipos, per ninguno de ellos tenia la direccion",positivo,1
Ya está pagado,positivo,1
"Lo%20lamento,%20tengo%20una%20reunion%20ahora.",positivo,1
.-.--??...---.-...-.-..-.-....-.-.-.-?????-.-..-.-.------.--....-.-.-.-?.-.-.-..-...-?-?.-.-.-..--.-.-.-.--.-..--?-.-.-.-????-.-....-..-....-----.-.-....,positivo,1
Ummmm aprobacion de que?????,positivo,1
Numeros apagados!!!!?,positivo,1
Esta cuota ya fue pagado con anticipacion. Gracias.,positivo,1
"En tiempos de emergencia, FINANCIERA EFECTIVA con EJERCITO DEL PERU. Le brinda facilidades para un prestamo convenio, seguro y en cuotas. Comunicate o es",positivo,1
ct. Gracias,positivo,1
Ya cancele ,positivo,1
Porque no se puede salir a vender,positivo,1
"Si gracias antes de as 3 pm voy,disculpen aveces no es como uno se piensa",positivo,1
No es justo tener a cada rato este mensaje si no le debo,positivo,1
Yo no debo nada x q yo pge de q campaña debo,positivo,1
buenas tardes yo pagué el dia 5 mi cuota cual es el problema,positivo,1
que me corresponde,positivo,1
Que banco???,positivo,1
Gracias pero agora estoy peor que antes porq no trabajo desde marzo...,positivo,1
"El numero 984540583 quiere comunicarse contigo, si deseas llamalo.",positivo,1
"Bnos dias, no entiendlmo de que se trata el mensaje que me acaba de enviar, a que pago se refiere??",positivo,1
Señores de ACCESO esta pagado mi cuenta el numero de cuenta es lo siguente,positivo,1
Yo no debo azteca se han equivocado,positivo,1
Porque me envian esto si no debo,positivo,1
No quiero pagr pues,positivo,1
 Buenas tardes estoy en zona rural como hago si llego el miércoles a Jaén,positivo,1
"No esten jodiendo, eso ya se ba a pagar",positivo,1
Por que me sigue llegando mensaje ya cancele todo,positivo,1
"El numero 975653602 realizo una llamada, busca comunicarse contigo.",positivo,1
Ya solicité que se comunique Claudia Zavala...gracias,positivo,1
año cuando me encuentre en mi sitio de residencia voy a cancelar disculpa mi demora no fue por qué quise gracias,positivo,1
"El numero 925613077 realizo una llamada, busca comunicarse contigo.",positivo,1
Pa q page a la se no l va a regalar esos producto,positivo,1
Agente BCP cual es el codigo o forma de pago ,positivo,1
Eso no es la deuda que yo tengo,positivo,1
Por favor no envíen mensajes a este número,positivo,1
"El numero 956693608 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Me podria detallar de porque dice que tengo deuda de 10 soles,positivo,1
Vengan a recoger porfavor,positivo,1
El lunes estoy por ayi,positivo,1
Hasta cuando voy a ser acusada x llamadas y mensajes,positivo,1
992774652,positivo,1
"El numero 945134390 realizo una llamada, busca comunicarse contigo.",positivo,1
Por favor disculpe dígame cuanto es por que es a sido menos  y si e,positivo,1
"Buenas tardes, señorita ya cancelé hoy",positivo,1
"El numero 948661803 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Q Deuda Yo No Tengo Ninguna Deuda Con Mi Banco,positivo,1
"Señores Movistar que equipos voy a devolver continuo con mis decodificadores antiguos, solo me han agregado canales, y Internet y fijo gracias",positivo,1
No entienden usted no me molesten q voy a proceder de otra manera,positivo,1
Cuanto es lo que debo,positivo,1
Disculpe dond es la nueva direccion de tiendas efe en tacna,positivo,1
No tengo el cronograma de pago,positivo,1
no estes molestando esa cuenta a sido cancelada,positivo,1
"El numero 969827617 quiere comunicarse contigo, si deseas llamalo.",positivo,1
"El numero 956989756 realizo una llamada, busca comunicarse contigo.",positivo,1
Cual Esther ctmr,positivo,1
Ya le dije que  la impresora  se maligno me dijo que me llamaría y ,positivo,1
No tengo ninguna deuda pf no molestar,positivo,1
Dejen de enviarme tonterias...yo no hago pedidos avon con quien quieren hablar,positivo,1
Stas loco @ loca,positivo,1
"Estoy con la Suspension Temporal A parte estamos en ESTADO DE EMERGENCIA ,NO PUEDEN Y DEBEN TOMAR AMENAZAS DE ESTE TIPO",positivo,1
Ok gracias x haserme recordar pero mi cuota ya la cansele desde el 28 9 2020,positivo,1
Ya pagu¿,positivo,1
e desconto porque era una orden del estado. Ademas fue un acuerdo que dije en la solicitud que me descontaran al final. Osea en Enero. Y me estén molesta,positivo,1
Señor dejen de molestar enviando este tipo de mensajes nose a quien se los mandan,positivo,1
"El numero 955874053 realizo una llamada, busca comunicarse contigo.",positivo,1
Buenas tardes. Quisiera saber como hago para cancelar porque ud no contesta,positivo,1
Tendran que esperar,positivo,1
Hola joven como hago para pagar?,positivo,1
Son estafadores ya les caera la policia de estafad,positivo,1
Ya pague hoy gracias,positivo,1
Que no debo scotiabank no se cansan,positivo,1
400739436,positivo,1
Averiguense muy bien para que se pueden comunicarse con esa persona,positivo,1
Muchisimas gracias!!! Estaremos cumpliendo en esa fecha.,positivo,1
No entiendes....??,positivo,1
Por favor pueden dejar de mandar mensaje y de llamar a este numero,positivo,1
No estoy en pacasmayo,positivo,1
Lo cancelé desde el sabado.,positivo,1
Estoy mandando mensajes por favor no voy a poder pagar mi cuota .estoy llamando a los teléfonos que mandan mensajes pero no me contestan por favor contesten,positivo,1
Llamar al 945228777,positivo,1
Tas loco chico,positivo,1
Ya pague.,positivo,1
Me lo han mansado de nuevo hoy dia a las 9:17a.m.,positivo,1
"El numero 988406151 quiere comunicarse contigo, si deseas llamalo.",positivo,1
no%20voy%20a%20pagarles%20nada,positivo,1
Dejen de escribirme,positivo,1
Ayer no hubo sistema,positivo,1
"El numero 954440426 realizo una llamada, busca comunicarse contigo.",positivo,1
Kien eres para llamarte urgente,positivo,1
Me estoy tratando d comunicar con mi asesor para ver cuanto me toca pagar,positivo,1
No llamare,positivo,1
Que deuda habla si yo no tengo tarjeta,positivo,1
es demandar mensajes o estar llamando a cada rato ya me queje en la tienda pero ay me sicen no aparece del dia 20 nose de donde sacan ustedes y acada rat,positivo,1
"El numero 996052593 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Ya pagueee,positivo,1
No tengo x q pagar x q la persona q me exija ésa tarjeta me dejo q no sé paga interés y no tengo x q pagar x q no debo de nada y no me digan exigiendo y,positivo,1
Así que no quiero seguir recibiendo ese tipo de mensajes,positivo,1
Ya cancele gracias,positivo,1
Ya pague no molesten,positivo,1
"El numero 939113016 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Sr.movistar%20cordine%20para%20devolver%20mi%20plata%20que%20me%20deben%20del%20mes%20de%20enero.,positivo,1
Disculpe yo no debo a efectiva,positivo,1
Ok gracias los pagos los ago con anticipación,positivo,1
Ya se a depositado,positivo,1
No se por que me mandan estos msj.yo no debo nadaaaaaaa,positivo,1
Un favor no jodannn,positivo,1
Solo comunocarse por este medio..no fijo por favor,positivo,1
Favor de no joder,positivo,1
Que mas por favor,positivo,1
link%20para%20poder%20pagar%20virtualmente,positivo,1
que estamos viviendo por amor a Dios demen tienpo a que las cosas mejoren,positivo,1
Y ellos solo atienden hasta las 5 por favor,positivo,1
"Buenas tardes, pueden recoger en el distrito de Comas, donde actual",positivo,1
Nombre: Emilio Movil: 933 678 160,positivo,1
No me jodan yo no les debo ni mierda!!,positivo,1
Los equipos adicionales son miis yo los compre,positivo,1
Cuanto seria el total que tengo que pagar,positivo,1
Porfavor tengo 7000,positivo,1
ya estan cansanso xf,positivo,1
 Deja de joderme me quieren hacer pagar por un producto que yo no resibi,positivo,1
No tengo tiempo señor scotiabank,positivo,1
Pero tratare esta semana de pagar por favor,positivo,1
Buenos días.,positivo,1
"El numero 956638101 quiere comunicarse contigo, si deseas llamalo.",positivo,1
A quw numero puedo llamar,positivo,1
A 15 adelantare,positivo,1
Cual es la promocion,positivo,1
Me podria enviar numero de cuenta del banco continental para hacer mi pago,positivo,1
arme llameme cuando hayan solucionado este caso,positivo,1
No les debo nada carajo dejen de joder hdp,positivo,1
Quero renovar mi equipo,positivo,1
Sres de Efectiva le estoy comunicando x este medio he ido a pagar y me estan cobrando interes yo no tengo dinero ni tengo trabajo para pagar interes.,positivo,1
No tengo deuda con ustedes,positivo,1
Tengo mi carta de no adeudo,positivo,1
Disculpen señores movisrar pero antes de la pandemia hubo un incendio en mi domicilo junto a varios vecinos nuestras casas y todas nuestras cosas del hog,positivo,1
o y no me responde.,positivo,1
942891193,positivo,1
"El numero 984644355 quiere comunicarse contigo, si deseas llamalo.",positivo,1
"Buenas tardes,  e dado de baja si mal no recuerdo A inicios de año o finnde año 2019, yo ya no ando en lima, y la casa donde ando esta alquilada a otra persona",positivo,1
Congelamiento de deudas,positivo,1
Ok esperaré la respuesta,positivo,1
Hola buenas noches un favor pws qro m cuota,positivo,1
Gracias ya lo saqu el bono.,positivo,1
No%20molesten%20ya%20pagamos,positivo,1
Con fecha 20/10/2018.,positivo,1
digame,positivo,1
Otra vez caray dejen de joder son 5 o 7 numeros w joden ya pague revisen bien,positivo,1
Con tu tarjeta rctm,positivo,1
Buenas tardes soy la srta. Anghy Venegas y este número telefónico m,positivo,1
Mes febrero,positivo,1
"El numero 943294695 realizo una llamada, busca comunicarse contigo.",positivo,1
Como reprogramado no entiendo s todo los meses boy pagando haber s m especificas claro espero,positivo,1
"El numero 985541399 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Que pasa ? Quien eres ? Ahora no estoy disponible por ahora.,positivo,1
Y de cuanto sera el prestamo,positivo,1
Kien ers,positivo,1
Dejen de estar enviando mensajes ... No tengo nada que refinaciar con uds. Okay !!,positivo,1
No te conozco,positivo,1
De que deuda me esta hablando,positivo,1
Quien eres...???,positivo,1
993264829 este es el numero de Roman Sequeiros,positivo,1
Me puede explicar a qué equipos se refiere,positivo,1
roducto que han sido devueltos hace 1 mes y medio de la campaña 7 ya pague y hasta ahora no me descuenta y de la campaña 10 igualmente llego 13 productos,positivo,1
Solo ledigo al sr  agerente  kno debe d aver mora k dijo el gobierno yo si voy apagar k tenemos est negocio pero x semanas  espero k comprendo y yo nunca,positivo,1
Que me van a embargar esta. Hasta las huevas,positivo,1
Disculpa cuantas cuotas faltan. Por he ido ha pagar y no aparece cuotas,positivo,1
Que cobros me van hacer si son ustedes los que deben programar cuando vienen y en que horario?,positivo,1
No debo nada por la puta que los pario.!!!!!!,positivo,1
Estoy esperando el dia que termine de pagar este préstamo asqueroso para que no me lleguen estos malditos mensajes,positivo,1
"El numero 937407627 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Actualicen su sistema,positivo,1
Uhmmm,positivo,1
"El numero 959031420 realizo una llamada, busca comunicarse contigo.",positivo,1
Ya lo renove gracias,positivo,1
joven buen dis mi papa esta delicado de salud,positivo,1
Cuál deuda,positivo,1
"El numero 920626511 realizo una llamada, busca comunicarse contigo.",positivo,1
"Buenas tardes el día de hoy he pagado ma cuota correspondiente, sin",positivo,1
"Hola Grace, cuanto tengo preaprobado",positivo,1
"El numero 949417459 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Yo no tengo plata para pagar y a demas no estoy trabajando x la pandemia q Nos dejo sin trabajo,positivo,1
No sé de qué me ablal,positivo,1
Si 15 por favor,positivo,1
Sobre? Que asunto?,positivo,1
"El numero 932998685 quiere comunicarse contigo, si deseas llamalo.",positivo,1
A MI ME DECUENTA LA DREL CADA MES PAPRA MI DEUDA COBRAR AHI,positivo,1
Lla cansele ayer lesli,positivo,1
Grasias,positivo,1
Por el momento no dispongo de dinero en cuanto tenga hare el pago,positivo,1
Ella hablo el mes pasado,positivo,1
"Es el 4to msj q envian,xfa dejen tranquilo,gracias",positivo,1
Ayer envié el aviso de Transferencia por el monto total pendiente. Coordiné con la Srta. Fidela Félix.,positivo,1
Cuanto es mi deuda total,positivo,1
"El numero 937417095 realizo una llamada, busca comunicarse contigo.",positivo,1
Ya Pague,positivo,1
Señores ahora hay tanto peligro ustedes tienen mi numero quiero que ustedes rebisen su archivo la fecha que fui a la telefonica y yo misma hice un papele,positivo,1
ostigadors que malogran mi tranquilidad de mi familia. Estaré tomando medidas judiciales en una ultima vez gracias,positivo,1
Que devolucion q hemos pagado por los equipos,positivo,1
Quien eres ??,positivo,1
"Soy el señor nolberto nuñez DNI 16583042, he intentado hablar sobre mi deuda de mis 2 ultimas cuotas, las que segun uds. Las han reprogramado SIN MI AUTO",positivo,1
Pageeee,positivo,1
Xq tienen q estar llanfome 4 días antes del pago,positivo,1
Srs ya se realizo el deposito ,positivo,1
Caalla estafador,positivo,1
Activa descuento clik,positivo,1
o tiempo lo para sus estupideces,positivo,1
No me pagan xq no están los que me sacaron los products,positivo,1
Y esa mi deuda es x penalidad! No sean sinverguenzas!!!!,positivo,1
Ya no les debo nada señores. Revisen bien y si les debo llameme para cobrarme ,positivo,1
"Disculpen soy Álex Cadillo Arévalo, podrían dejar de enviarme mensa",positivo,1
Mandame el monto por favor. GRACIAS,positivo,1
Me pueden dejar en paz? yo no debo a nadie,positivo,1
Pq no me llaman ,positivo,1
Ya%20hice%20el%20pago%20%20aproximadamente%20al%20medio%20dia,positivo,1
Cuanto quieren,positivo,1
Y ya no fastidien,positivo,1
"No se k quieres k jodes, yo no debo nada",positivo,1
"o de acuerdo, dejen de molestar tienen que estar enviando y buscand",positivo,1
No me molestes,positivo,1
"El numero 956998119 realizo una llamada, busca comunicarse contigo.",positivo,1
Tengo portabilidad desde el 9,positivo,1
Quien eres aaaa,positivo,1
El viernes pagaré por favor ,positivo,1
Señorita ya pague,positivo,1
Buenas tardes disculpa por el momento aun no estoy trabajando ni bien empieza a trabajar me voy a ponerme al dia por favor gracias,positivo,1
Plazo hasta cuando se puede pagar?,positivo,1
"Queda solo un saldo , señores por favor ya me comunique con la srta. Mari carmen moran de cobranzas. Gracias",positivo,1
El señor Encalada dio este número pero le informo que este número p,positivo,1
970458966 vas contestar ono se k estas en tu mujer por eso no contestas,positivo,1
Listo el descuento lo hacen en el penal de San Juan o sarita ?,positivo,1
"El numero 995200731 realizo una llamada, busca comunicarse contigo.",positivo,1
Que equipos no me jodan voy a dar de baja a t odo,positivo,1
Señorita como puedo pagar con que codigo,positivo,1
Un numero para comunicarme?,positivo,1
"Tres pagos , verifique en el sistema ,",positivo,1
No tengo deuda con Scotiabank ya que solicite anulacion de tarjeta. No tengo respuesta del Banco.,positivo,1
Si claro que me acuerdo,positivo,1
Estuve llamando para reprogramar el crédito,positivo,1
Que lo recojan en chorrillos. Calle electra 137. Previa cita. Gracias. La casa se vendio. Ya no estoy en sjl,positivo,1
"El numero 938425884 quiere comunicarse contigo, si deseas llamalo.",positivo,1
"tegui Nro.289- Coop. Universal- Santa Anita, de 09.00 a 4.00 pm telefono 968383734",positivo,1
Yo no debo mucho menos al efectiva,positivo,1
Disculpe kiero saver cuanto es mi deuda x fab,positivo,1
puedo pagar e el banco BCP,positivo,1
Cuanto es?,positivo,1
Hola.como puedo hacer.para.refinanciarlo encuotas,positivo,1
Ya lo  lo cancele estoy esperando la carta de no adeudado,positivo,1
Ya cancele el dia sabado,positivo,1
"El%20numero%20959066038%20quiere%20comunicarse%20contigo,%20si%20deseas%20llamalo.",positivo,1
Buenos dias. Yo no tengo deuda con ustedes.,positivo,1
Ok gracias,positivo,1
Esa no es mi cuota,positivo,1
decides te identificas o pierdes.... Gracias,positivo,1
Hace tiempo los quiero contactar y saber mi recib,positivo,1
Son varios meses que pregunto el motivo de esa deuda. Soy persona m,positivo,1
"El numero 978154433 realizo una llamada, busca comunicarse contigo.",positivo,1
Y q cosa quieres q haga fuera de aca Ami con estafadores estoy prision carajo haber muéstrame tu beneficio ya apunte tu numero vamos haber quien eres apu,positivo,1
"Estimado Hoy no estamos en casa, por favor pasar a recojer el dia de mañana 22/9 por la mañana. Gracias por su comprension",positivo,1
Cual cuota si n tengo préstamo,positivo,1
No tengo deuda con ustedes,positivo,1
ESTOY MISION INPOSIBLE DISCULPAME,positivo,1
No reconozco tu numero. Me dirias quien eres...,positivo,1
Con quien desea hablar,positivo,1
Estoy enfermo con COVID cdo m sane m iré a ver de q debo todo eso m,positivo,1
"Ya realic¿ el pago, de nada.",positivo,1
Ya le dije que ya page,positivo,1
Y no tengo naaa,positivo,1
"Señores ya no me vuelva a llamar, ya pague el 17 de enero. Caso contrario presentaré mi queja.",positivo,1
Dejen de molestar mi papa a fallecido,positivo,1
"El numero 999688679 realizo una llamada, busca comunicarse contigo.",positivo,1
Pague en tienda f,positivo,1
"Buenas tardes, el monto para cancelar mi deuda al dia de hoy, me indican en caja, es de 3,900 y picos. El monto acordado por teléfono, me indicaron 2800",positivo,1
Si s vence el 12 d oct,positivo,1
Yo ya no le debo al continental,positivo,1
No lo conozco disculpe lo voy broquiar,positivo,1
Me estafaron,positivo,1
No tengo plata no tengo trabajó,positivo,1
cuantas beses les tengo q desir q no tengo plata ni para tragar ,positivo,1
Yo no debo a ninguna mierda,positivo,1
Para q me Informen,positivo,1
YA PAGUE,positivo,1
"Indicar de qué deuda hablan, remitir monto y detalle",positivo,1
Ya pague hoy,positivo,1
"El numero 988011437 realizo una llamada, busca comunicarse contigo.",positivo,1
Disculpe cuales son los equipos,positivo,1
Hola yo no debo nada,positivo,1
Señores de sullana yo estoy puntual en mis pagos. Mi siguiente cuota es o vence el 04 de octubre. Gracias.,positivo,1
Hola ya paque,positivo,1
Qqq no se pasen con su cargo y corte,positivo,1
BOYA CAMBIAR DE CHIP JUSTAMENTE LE BOYA HACER HOY,positivo,1
Yo ya pagué ,positivo,1
Ya deposite gracias,positivo,1
Y por qué no llamas tu?,positivo,1
No responden el mensaje a ese nunero,positivo,1
O sigue,positivo,1
Que equipos!,positivo,1
"El numero 947994452 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Si ya lo sé no me envien en msm a cada rato x fa,positivo,1
Se llama y no responden ,positivo,1
Estafador usa el cerebro,positivo,1
"El numero 972653426 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Gracias ya ire a pagar,positivo,1
No podre  pagar,positivo,1
Yo soy jorge tragodara acosta,positivo,1
Hola ,positivo,1
Por ello pedí la reprogramación del pago,positivo,1
Yo no tengo ni una cuenta pendiente,positivo,1
Ese No es mi monto de facturacion si no lo corrigen yo No lo boy a pagar.,positivo,1
Mi cuota se vence el 20 De octubre.,positivo,1
"El numero 983871124 realizo una llamada, busca comunicarse contigo.",positivo,1
Asi k mas cuento,positivo,1
nse bien sobre el número que están marcando . Están advertidos,positivo,1
Ya page mi deuda,positivo,1
